PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2024,40,1.95616,1.86884,10204,12587,X,17906,4705,4763,50165,4228,2684292
National,X,2024,41,2.07202,1.96686,10784,12976,X,18766,4892,4712,52130,4242,2650423
National,X,2024,42,2.10974,2.02963,11017,13528,X,19536,4950,4814,53845,4238,2652945
National,X,2024,43,2.26129,2.1749,12591,14519,X,22906,5144,5041,60201,4239,2767985
National,X,2024,44,2.36265,2.25317,13408,15281,X,22331,5370,5076,61466,4178,2727981
National,X,2024,45,2.53027,2.4096,15127,16362,X,23780,5828,5441,66538,4225,2761376
National,X,2024,46,2.73897,2.59636,16323,16861,X,24768,6195,5612,69759,4240,2686805
National,X,2024,47,2.95129,2.81364,18076,18235,X,27477,6737,5917,76442,4204,2716837
National,X,2024,48,3.21808,3.1427,19887,17487,X,23811,6589,6438,74212,4222,2361409
National,X,2024,49,3.36749,3.26351,19974,22862,X,27153,8875,8913,87777,4219,2689654
National,X,2024,50,3.81413,3.70026,22158,25132,X,33861,9953,9874,100978,4225,2728943
National,X,2024,51,4.95248,4.81913,28815,33723,X,45504,12695,12223,132960,4186,2759006
National,X,2024,52,6.7782,6.68487,37488,44811,X,48160,18448,18618,167525,4178,2506031
National,X,2025,1,6.34542,6.19061,33413,48708,X,37543,21900,23088,164652,4207,2659704
National,X,2025,2,5.36569,5.31642,23555,42870,X,36035,19311,17884,139655,4201,2626860
National,X,2025,3,5.76832,5.70742,25928,44061,X,50083,19118,17232,156422,4210,2740678
National,X,2025,4,6.98572,6.86373,30094,50914,X,58971,21078,17995,179052,4213,2608668
National,X,2025,5,7.75169,7.42706,32768,59689,X,71874,26132,23177,213640,4209,2876507
National,X,2025,6,7.82524,7.70587,34964,59553,X,75634,26594,24902,221647,4204,2876341
National,X,2025,7,6.92886,7.06663,29349,52480,X,61696,24214,23898,191637,4202,2711859
National,X,2025,8,5.95239,6.02995,24635,44681,X,46115,20332,20414,156177,4195,2590023
National,X,2025,9,4.9156,4.84666,20497,37543,X,38768,17512,18244,132564,4190,2735163
National,X,2025,10,4.29549,4.26861,18234,31393,X,35221,14100,14485,113433,4177,2657378
National,X,2025,11,3.87585,3.87998,16997,28380,X,32742,12419,12582,103120,4148,2657747
National,X,2025,12,3.30817,3.32303,15024,24056,X,27819,9988,10329,87216,4128,2624589
National,X,2025,13,3.18769,2.96927,13408,21067,X,24580,8172,8296,75523,4081,2543491
